DISEASE/TRAIT	MAPPED_TRAIT	STUDY ACCESSION	Other	Background
Coronary artery aneurysm in Kawasaki disease	mucocutaneous lymph node syndrome|| coronary aneurysm	GCST003192	coronary aneurysm	mucocutaneous lymph node syndrome
Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes	coronary artery calcification|| type II diabetes mellitus	GCST005173	coronary artery calcification	type II diabetes mellitus
Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes	coronary artery calcification|| type II diabetes mellitus	GCST005175	coronary artery calcification	type II diabetes mellitus
Coronary artery calcified atherosclerotic plaque score in type 2 diabetes	coronary artery calcification|| type II diabetes mellitus	GCST005174	coronary artery calcification	type II diabetes mellitus
Coronary artery disease in diabetes	diabetes mellitus|| coronary artery disease	GCST006405	coronary artery disease	diabetes mellitus
Coronary artery disease in type 1 diabetes	type I diabetes mellitus|| coronary artery disease	GCST006281	coronary artery disease	type I diabetes mellitus
Coronary heart disease in familial hypercholesterolemia	familial hypercholesterolemia|| coronary heart disease	GCST002478	coronary heart disease	familial hypercholesterolemia
Baseline cortisol levels in response to low dose short synacthen test in corticosteroid treated asthma	childhood onset asthma|| cortisol measurement|| response to corticosteroid|| response to synacthen	GCST005925	cortisol measurement|| response to corticosteroid|| response to synacthen	childhood onset asthma
Cotinine levels in smokers with chronic obstructive pulmonary disease	smoking status measurement|| cotinine measurement|| chronic obstructive pulmonary disease	GCST005916	cotinine measurement	smoking status measurement|| chronic obstructive pulmonary disease
Creatine kinase in statin users	response to statin|| creatine kinase measurement	GCST002603	creatine kinase measurement|| response to statin	
Mixed cryoglobulinemia vasculitis in chronic hepatitis C infection	cryoglobulinemia|| Chronic Hepatitis C infection	GCST002534	cryoglobulinemia	Chronic Hepatitis C infection
Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)	cumulative dose response to bevacizumab|| chemotherapy-induced hypertension|| breast carcinoma	GCST002566	cumulative dose response to bevacizumab	breast carcinoma|| chemotherapy-induced hypertension
Response to paclitaxel in ovarian cancer (MTT IC50)	ovarian carcinoma|| cytotoxicity measurement|| response to paclitaxel	GCST003441	cytotoxicity measurement|| response to paclitaxel	ovarian carcinoma
Depressive episodes in bipolar disorder	depressive episode measurement|| bipolar disorder	GCST003091	depressive episode measurement	bipolar disorder
Depression in response to interferon-based therapy in chronic hepatitis C	Chronic Hepatitis C infection|| response to interferon|| depressive symptom measurement	GCST003824	depressive symptom measurement|| response to interferon	Chronic Hepatitis C infection
Diabetes in response to antihypertensive drug treatment (treatment strategy interaction)	response to antihypertensive drug|| diabetes mellitus|| hypertension|| response to beta blocker|| response to calcium channel blocker	GCST003797	diabetes mellitus|| response to antihypertensive drug|| response to beta blocker|| response to calcium channel blocker	hypertension
Foot ulcer in diabetes and neuropathy	type I diabetes mellitus|| diabetic foot|| type II diabetes mellitus|| neuropathy	GCST004724	diabetic foot	type I diabetes mellitus|| type II diabetes mellitus|| neuropathy
Foot ulcer and neuropathy in diabetes	type I diabetes mellitus|| diabetic foot|| type II diabetes mellitus|| neuropathy	GCST004725	diabetic foot|| neuropathy	type I diabetes mellitus|| type II diabetes mellitus
Diabetic macular edema in type 2 diabetes	diabetic macular edema|| type II diabetes mellitus	GCST006282	diabetic macular edema	type II diabetes mellitus
Diabetic kidney disease in diabetes	diabetes mellitus|| diabetic nephropathy	GCST005881	diabetic nephropathy	diabetes mellitus
Diabetic kidney disease in diabetes (ESRD vs. no ESRD)	diabetes mellitus|| diabetic nephropathy	GCST005894	diabetic nephropathy	diabetes mellitus
Early diabetic kidney disease in diabetes	diabetes mellitus|| diabetic nephropathy	GCST005890	diabetic nephropathy	diabetes mellitus
Late diabetic kidney disease in diabetes	diabetes mellitus|| diabetic nephropathy	GCST005888	diabetic nephropathy	diabetes mellitus
Diabetic kidney disease in type 2 diabetes	diabetic nephropathy|| type II diabetes mellitus	GCST005895	diabetic nephropathy	type II diabetes mellitus
Early diabetic kidney disease in type 2 diabetes	diabetic nephropathy|| type II diabetes mellitus	GCST005889	diabetic nephropathy	type II diabetes mellitus
Late diabetic kidney disease in type 2 diabetes	diabetic nephropathy|| type II diabetes mellitus	GCST005887	diabetic nephropathy	type II diabetes mellitus
Sight-threatening diabetic retinopathy in type 2 diabetes	diabetic retinopathy|| type II diabetes mellitus	GCST003042	diabetic retinopathy	 type II diabetes mellitus
Diabetic retinopathy in type 2 diabetes	diabetic retinopathy|| type II diabetes mellitus	GCST002684	diabetic retinopathy	type II diabetes mellitus
Severe diabetic retinopathy in type 2 diabetes	diabetic retinopathy|| type II diabetes mellitus	GCST006424	diabetic retinopathy	type II diabetes mellitus
Diarrhoea in darapladib-treated cardiovascular disease (time to event)	response to darapladib|| diarrhea|| acute coronary syndrome|| coronary heart disease	GCST004962	diarrhea|| response to darapladib	acute coronary syndrome|| coronary heart disease
Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)	response to darapladib|| diarrhea|| acute coronary syndrome|| coronary heart disease	GCST004967	diarrhea|| response to darapladib	acute coronary syndrome|| coronary heart disease
Diastolic blood pressure night-to-day ratio in hypertension	diastolic blood pressure change measurement|| hypertension	GCST006273	diastolic blood pressure change measurement	hypertension
Diastolic blood pressure response to hydrochlorothiazide in hypertension	response to hydrochlorothiazide|| diastolic blood pressure change measurement|| hypertension	GCST003805	diastolic blood pressure change measurement|| response to hydrochlorothiazide	hypertension
Thiopurine-induced digestive symptoms in inflammatory bowel disease	digestive system disease|| response to thiopurine|| inflammatory bowel disease	GCST006210	digestive system disease|| response to thiopurine	inflammatory bowel disease
Type 1 diabetes in high risk HLA genotype individuals (time to event)	disease free survival|| type I diabetes mellitus|| carrier status	GCST006196	disease free survival|| type I diabetes mellitus	carrier status
Poor prognosis in Crohn's disease	Crohn's disease|| disease prognosis measurement	GCST004053	disease prognosis measurement	Crohn's disease
Relapse in multiple sclerosis	multiple sclerosis|| disease recurrence	GCST004752	disease recurrence	multiple sclerosis
Breast cancer-free interval (treatment with aromatase inhibitor)	disease recurrence|| response to aromatase inhibitor|| breast carcinoma	GCST003816	disease recurrence|| response to aromatase inhibitor	breast carcinoma
Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	drug-induced agranulocytosis|| treatment refractory schizophrenia|| response to clozapine	GCST003628	drug-induced agranulocytosis|| response to clozapine	treatment refractory schizophrenia
Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	drug-induced agranulocytosis|| treatment refractory schizophrenia|| response to clozapine	GCST003450	drug-induced agranulocytosis|| response to clozapine	treatment refractory schizophrenia
Thionamide-induced agranulocytosis in Graves' disease	drug-induced agranulocytosis|| response to thioamide|| Graves disease	GCST003018	drug-induced agranulocytosis|| response to thioamide	Graves disease
Liver injury in anti-retroviral drug treated HIV	response to efavirenz|| HIV infection|| drug-induced liver injury	GCST004261	drug-induced liver injury|| response to efavirenz	HIV infection
Drug-induced liver injury in interferon-beta-treated multiple sclerosis	multiple sclerosis|| response to interferon beta|| drug-induced liver injury	GCST006270	drug-induced liver injury|| response to interferon beta	multiple sclerosis
Liver injury in anti-tuberculosis drug treatment	response to rifampicin|| Tuberculosis|| drug-induced liver injury	GCST003792	drug-induced liver injury|| response to rifampicin	Tuberculosis
Liver injury in combined anti-retroviral and anti-tuberculosis drug-treated HIV with tuberculosis	response to rifampicin|| Tuberculosis|| response to efavirenz|| HIV infection|| drug-induced liver injury	GCST004262	drug-induced liver injury|| response to rifampicin|| response to efavirenz	HIV infection|| Tuberculosis
Eating disorder in bipolar disorder	eating disorder|| bipolar disorder	GCST003132	eating disorder	bipolar disorder
Ejection fraction in Tripanosoma cruzi seropositivity	Trypanosoma cruzi seropositivity|| ejection fraction measurement	GCST002281	ejection fraction measurement	Trypanosoma cruzi seropositivity
Emphysema distribution in smoking	smoking behavior|| emphysema pattern measurement	GCST003761	emphysema pattern measurement	smoking behavior
Erectile dysfunction in type 1 diabetes	type I diabetes mellitus|| erectile dysfunction	GCST001572	erectile dysfunction	type I diabetes mellitus
Erythema nodosum in inflammatory bowel disease	erythema nodosum|| inflammatory bowel disease	GCST002380	erythema nodosum	inflammatory bowel disease
Estrogen receptor status in breast cancer	estrogen-receptor negative breast cancer|| estrogen-receptor positive breast cancer|| breast carcinoma	GCST003821	estrogen-receptor negative breast cancer|| estrogen-receptor positive breast cancer	breast carcinoma
Plasma estrone conjugates levels in resected early stage estrogen-receptor positive breast cancer	estrone conjugate measurement|| estrogen-receptor positive breast cancer	GCST004359	estrone conjugate measurement	estrogen-receptor positive breast cancer
Estrone conjugates/estrone ratio in resected early stage estrogen-receptor positive breast cancer	estrone conjugate measurement|| estrogen-receptor positive breast cancer|| estrone measurement	GCST004360	estrone conjugate measurement|| estrone measurement	estrogen-receptor positive breast cancer
Plasma estrone levels in resected estrogen-receptor positive breast cancer	estrogen-receptor positive breast cancer|| estrone measurement	GCST004362	estrone measurement	estrogen-receptor positive breast cancer
Executive function in ADHD	attention deficit hyperactivity disorder|| executive function measurement	GCST006219	executive function measurement	attention deficit hyperactivity disorder
Eye movement in schizophrenia (horizontal position gain)	eye movement measurement|| schizophrenia	GCST006448	eye movement measurement	schizophrenia
Eye movement in schizophrenia (integrated eye movement score)	eye movement measurement|| schizophrenia	GCST006451	eye movement measurement	schizophrenia
Eye movement in schizophrenia (scanpath length)	eye movement measurement|| schizophrenia	GCST006459	eye movement measurement	schizophrenia
